# Code Map: tcart.js

## Module Overview

Файл tcart.js (9104 строки) — скомпилированный Babel-бандл модуля корзины покупок платформы **Tilda** (блок ST100 / t706). Содержит полный цикл работы корзины: инициализацию, управление товарами, скидки, промокоды, авторизацию через Members, восстановление потерянных корзин, отрисовку UI (иконка, sidebar, fullscreen), работу с формой заказа, доставку и сетевое взаимодействие с Tilda Store API. ~42% файла занимают Babel runtime helpers.

---

## Top-level Inventory

### IIFE / Модули

| Type | Name | Line |
|------|------|------|
| IIFE | `t_cart__useRootZone` | 3836 |
| IIFE (enum) | `TCartServerLocation` | 3854 |
| IIFE (enum) | `RequestDataFormat` | 4043 |
| IIFE (enum) | `ResponseDataFormat` | 4052 |
| IIFE | `t_store__useTranslation` | 4394 |
| IIFE | `t_cart__loadDiscountsHook` | 4940 |

### Основные переменные

| Name | Line |
|------|------|
| `id`, `REACT_ELEMENT_TYPE`, `applyDecs2203Impl` | 436 |
| `parseResponse` | 3883 |
| `fetchWithRedirectHandling` | 3919 |
| `t_store__fetchApiData` | 3941 |
| `t_store__fetchData` | 3975 |
| `enTranslation` + компоненты | 4153–4275 |
| `ruTranslation` + компоненты | 4276–4392 |
| `TCART_TRANSLATION_*`, `T_CART_*` | 4393–4420 |
| `T_CART_PRELOADED_LANGS` | 4421 |
| `t_cart__loadLkpSettings` | 4471 |
| `t_cart__loadProductsInfoById` | 4509 |
| `t_cart__loadProductsPrices` | 4562 |
| `LS_ERROR_TEXT` | 4616 |
| `t_cart__loadLastOrderFields` | 4734 |
| `t_cart__loadLastDeliveries` | 4782 |
| `T_STORE_USE_EXTERNAL_FUNCTION_TIMEOUT` | 4814 |
| `t_store__useExternalFunction` | 4814 |
| `t_store__useExternalCSSFile` | 4835 |
| `t_store__useExternalJsFile` | 4845 |
| `t_cart__loadMembersSettings` | 4896 |
| `t_cart__loadDiscountsScript` | 5034 |
| `DISCOUNTS_FILE_NAME` … константы | 5055–5063 |
| `t_catalog__getStaticHost` | 5063 |
| `t_cart__loadСountryСodes` | 5107 |
| `tcart__loadDiscounts` | 5147 |
| `tcart__getProductsInfoById` | 5212 |
| `tcart__updateProductsPrice` | 5265 |
| `tcart__auth__getMembersSettings` | 5383 |
| `tcart__initAuthAndDelivery` | 5392 |
| `tcart__init` | 5480 |

### Основные функции (function declarations)

| Name | Line |
|------|------|
| `t_cart__getServerName` | 3859 |
| `t_cart__getServer2Name` | 3863 |
| `t_cart__getStoreEndpointUrl` | 3867 |
| `t_cart__getStore2EndpointUrl` | 3871 |
| `determineContentType` | 4062 |
| `getQueryString` | 4076 |
| `handleRootzoneRedirect` | 4100 |
| `t_cart__loadCartData` | 4602 |
| `t_cart__getDataFromLS` | 4608 |
| `t_cart__saveCartDataToLS` | 4616 |
| `t_cart__createDefaultCartData` | 4632 |
| `t_cart__isCartExpired` | 4650 |
| `t_cart__cleanCartProducts` | 4663 |
| `t_cart__getPageSettings` | 4677 |
| `t_cart__applyPageSettings` | 4695 |
| `t_cart__createTimestamp` | 4710 |
| `t_cart__getMembersToken` | 4713 |
| `tcart__loadLocalObj` | 5876 |
| `tcart__saveLocalObj` | 5890 |
| `tcart__syncProductsObject__LStoObj` | 5897 |
| `tcart__addEvents` | 5922 |
| `tcart__addEvent__links` | 6027 |
| `tcart__auth__init` | 6417 |
| `tcart__auth__createWrapEl` | 6473 |
| `tcart__auth__insertAuthEl` | 6477 |
| `tcart__auth__createAuthEl` | 6487 |
| `tcart__auth__createLoggedInEl` | 6513 |
| `tcart__auth__onMembersLogout` | 6556 |
| `tcart__auth__getMauser` | 6578 |
| `tcart__auth__getMauserFromLS` | 6592 |
| `tcart__auth__getUserFields` | 6601 |
| `tcart__auth__fillUserFields` | 6655 |
| `tcart__auth__clearUserFields` | 6670 |
| `tcart__addProduct` | 6679 |
| `tcart__updateMinimals` | 5813 |
| `tcart__nullObj` | 5804 |
| `tcart_dict` | 5800 |
| `tcart__updateTotalProductsinCartObj` | 6902 |
| `tcart__reDrawCartIcon` | 6955 |
| `tcart__shouldShowCartIcon` | 6993 |
| `tcart__openCart` | 7008 |
| `tcart__reDrawProducts` | 7041 |
| `tcart__lumaRgb` | 7187 |
| `tcart_isZeroBecauseOfDiscount` | 7196 |
| `tcart__reDrawTotal` | 7203 |
| `tcart_hasDiscount` | 7290 |
| `tcart_reDrawCartIcon` | 7296 |
| `tcart_reDrawCartTotal` | 7311 |
| `tcart_reDrawSidebarTotal` | 7328 |
| `tcart__drawTotalAmountInfo` | 7367 |
| `tcart__createTotalAmountListMarkup` | 7381 |
| `tcart__toggleTotalAmountVisibility` | 7392 |
| `tcart__toggleProdAmountVisibility` | 7430 |
| `tcart__changeSubmitStatus` | 7440 |
| `tcart__addEvents__forProducts` | 7516 |
| `tcart__getLostCart` | 7592 |
| `tcart__clearLostCartUrl` | 7624 |
| `tcart__restoreLostCart` | 7632 |
| `tcart__saveRestoredProducts` | 7669 |
| `tcart__openRestoredCart` | 7675 |
| `tcart__form__getForm` | 7680 |
| `tcart__form__getDeliveryWrapper` | 7683 |
| `tcart__form__getFields` | 7690 |
| `tcart__form__disableFormFields` | 7695 |
| `tcart__form__hideFormFields` | 7701 |
| `tcart__form__hideErrors` | 7707 |
| `tcart__form__showFormFields` | 7712 |
| `tcart__form__insertValidateRule` | 7718 |
| `tcart__fillRestoredCartForm` | 7730 |
| `tcart__showClearCartDialog` | 7805 |
| `tcart__showWrongOrderPopup` | 7824 |
| `tcart__keyUpFunc` | 7848 |
| `tcart__blockSubmitButton` | 7854 |
| `tcart__unblockSubmitButton` | 7860 |
| `tcart__blockAndDelayUnblockSubmitOnResponse` | 7865 |
| `tcart__blockCartUI` | 7871 |
| `tcart__unblockCartUI` | 7879 |
| `tcart__blockSidebarContinueButton` | 7887 |
| `tcart__unblockSidebarContinueButton` | 7897 |
| `tcart__product__plus` | 7907 |
| `tcart__product__minus` | 7942 |
| `tcart__product__del` | 7971 |
| `tcart__product__editquantity` | 8137 |
| `tcart__product__updateQuantity` | 8165 |
| `tcart__delZeroquantity_inCartObj` | 8199 |
| `tcart__createBottomTotalAmountMarkup` | 8210 |
| `tcart__drawBottomTotalAmount` | 8226 |
| `tcart__hideBottomTotalAmount` | 8255 |
| `tcart__addDelivery` | 8259 |
| `tcart__updateDelivery` | 8281 |
| `tcart__processDelivery` | 8298 |
| `tcart__setFreeDeliveryThreshold` | 8316 |
| `tcart__addEvent__selectpayment` | 8333 |
| `tcart__escapeHtml` | 8364 |
| `tcart__escapeHtmlImg` | 8375 |
| `tcart__cleanPrice` | 8385 |
| `tcart__roundPrice` | 8398 |
| `tcart__showWeight` | 8409 |
| `tcart__showPrice` | 8448 |
| `tcart__clearProdUrl` | 8515 |
| `tcart__onFuncLoad` | 8549 |
| `tcart_fadeOut` | 8569 |
| `tcart_fadeIn` | 8584 |
| `tcart__isEmptyObject` | 8601 |
| `tcart__openCartFullscreen` | 8605 |
| `tcart__closeCartFullscreen` | 8671 |
| `tcart__openCartSidebar` | 8706 |
| `tcart__closeCartSidebar` | 8738 |
| `tcart__initDelivery` | 8764 |
| `tcart__addDiscountInfo` | 8781 |
| `tcart__calcPromocode` | 8842 |
| `tcart_ceil` | 8925 |
| `tcart__showBubble` | 8929 |
| `tcart__closeBubble` | 8963 |
| `tcart__decodeHtml` | 8980 |
| `tcart__updateLazyload` | 8984 |
| `t706_onSuccessCallback` | 8997 |
| `t706_slideUp` | 9012 |
| `t_triggerEvent` | 9021 |
| `tcart__getRootZone` | 9050 |
| `tcart__isAuthorized` | 9053 |
| `tcart__getLkpSettings` | 9061 |
| `tcart__getSubtotalDiscount` | 9065 |
| `tcart__debounce` | 9068 |

### Babel runtime helpers (~100 функций, строки 1–3835)

`_OverloadYield`, `_applyDecoratedDescriptor`, `_applyDecs2311`, `_arrayLikeToArray`, `_arrayWithHoles`, `_arrayWithoutHoles`, `_assertClassBrand`, `_assertThisInitialized`, `_asyncGeneratorDelegate`, `_asyncIterator`, `AsyncFromSyncIterator`, `asyncGeneratorStep`, `_asyncToGenerator`, `_awaitAsyncGenerator`, `_callSuper`, `_checkInRHS`, `_checkPrivateRedeclaration`, `_classCallCheck`, `_classNameTDZError`, `_classPrivateField*`, `_construct`, `_defineProperties`, `_createClass`, `_createForOfIteratorHelper`, `_extends`, `_getPrototypeOf`, `_inherits`, `_isNativeReflectConstruct`, `_iterableToArray`, `_iterableToArrayLimit`, `_nonIterableRest`, `_nonIterableSpread`, `_objectSpread2`, `_possibleConstructorReturn`, `_regeneratorRuntime`, `_setFunctionName`, `_setPrototypeOf`, `_slicedToArray`, `_toConsumableArray`, `_typeof`, `_unsupportedIterableToArray`, `_wrapNativeSuper`, `_wrapRegExp`, `_AwaitValue`, `_applyDecs*`, `_dispose`, `_using`, и др.

---

## Groups

### 🌐 Сетевая инфраструктура и API
**Responsibility:** HTTP-запросы к Tilda Store API, управление серверными URL, обработка редиректов между TLD-зонами.

**Contains:** `t_cart__getServerName`, `t_cart__getServer2Name`, `t_cart__getStoreEndpointUrl`, `t_cart__getStore2EndpointUrl`, `parseResponse`, `fetchWithRedirectHandling`, `t_store__fetchApiData`, `t_store__fetchData`, `determineContentType`, `getQueryString`, `handleRootzoneRedirect`, `RequestDataFormat`, `ResponseDataFormat`, `t_cart__useRootZone`, `TCartServerLocation`

**Dependencies:** DOM (для чтения `data-tilda-root-zone`), `fetch` API, `Promise`
**Side effects:** Сеть (HTTP-запросы), globals (`window`)

---

### 🌍 Переводы / i18n
**Responsibility:** Локализация интерфейса корзины (английский, русский + динамическая загрузка других языков).

**Contains:** `t_store__useTranslation`, `tcart_dict`, `t_store__createTranslationUrlPathname`, `t_store__createTranslationUrl`, `t_store__createFallbackTranslationUrl`, `t_store__getPreloadedLang`, `t_store__sendTranslationRequest`, `t_store__isAvailableLang`, `enTranslation`, `ruTranslation`, `TCART_TRANSLATION_*`, `T_CART_PRELOADED_LANGS`

**Dependencies:** Сетевой слой (загрузка переводов с CDN)
**Side effects:** Сеть (CDN-запросы при отсутствии предзагруженного языка)

---

### 💾 Данные корзины (localStorage)
**Responsibility:** CRUD операции с данными корзины в localStorage, сериализация/десериализация, проверка актуальности.

**Contains:** `t_cart__loadCartData`, `t_cart__getDataFromLS`, `t_cart__saveCartDataToLS`, `t_cart__createDefaultCartData`, `t_cart__isCartExpired`, `t_cart__cleanCartProducts`, `t_cart__getPageSettings`, `t_cart__applyPageSettings`, `t_cart__createTimestamp`, `tcart__loadLocalObj`, `tcart__saveLocalObj`, `tcart__syncProductsObject__LStoObj`

**Dependencies:** DOM (чтение настроек из `#allrecords`), `window.tcart`
**Side effects:** localStorage (чтение/запись `tcart`), globals (`window.tcart`)

---

### 🛒 Управление товарами
**Responsibility:** Добавление, удаление, изменение количества товаров, пересчёт сумм, проверка лимитов и SKU.

**Contains:** `tcart__addProduct`, `tcart__product__plus`, `tcart__product__minus`, `tcart__product__del`, `tcart__product__editquantity`, `tcart__product__updateQuantity`, `tcart__delZeroquantity_inCartObj`, `tcart__updateTotalProductsinCartObj`, `tcart__updateProductsPrice`, `t_cart__loadProductsInfoById`, `t_cart__loadProductsPrices`

**Dependencies:** localStorage (чтение/запись корзины), API (обновление цен), UI-отрисовка
**Side effects:** DOM (перерисовка корзины), localStorage, globals (`window.tcart`), сеть (обновление цен каждые 3ч)

---

### 🎨 Отрисовка UI корзины
**Responsibility:** Визуальное отображение корзины: иконка, список товаров, итоги, суммы, скидки.

**Contains:** `tcart__reDrawCartIcon`, `tcart__shouldShowCartIcon`, `tcart__reDrawProducts`, `tcart__reDrawTotal`, `tcart__lumaRgb`, `tcart_isZeroBecauseOfDiscount`, `tcart_hasDiscount`, `tcart_reDrawCartIcon`, `tcart_reDrawCartTotal`, `tcart_reDrawSidebarTotal`, `tcart__drawTotalAmountInfo`, `tcart__createTotalAmountListMarkup`, `tcart__toggleTotalAmountVisibility`, `tcart__toggleProdAmountVisibility`, `tcart__createBottomTotalAmountMarkup`, `tcart__drawBottomTotalAmount`, `tcart__hideBottomTotalAmount`, `tcart__updateMinimals`, `tcart__updateLazyload`, `tcart__showBubble`, `tcart__closeBubble`

**Dependencies:** `window.tcart` (данные корзины), переводы (`tcart_dict`), утилиты цен (`tcart__showPrice`)
**Side effects:** DOM (создание/обновление/удаление элементов)

---

### 🪟 Открытие/Закрытие корзины
**Responsibility:** Управление визуальными режимами корзины: sidebar, fullscreen, modal; блокировка прокрутки.

